bs_rep	Class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
132	SW	363731	107829	61704	44736	35095	28409	23406	19688	16443	14385	12097	9867	8491	7223	6193	5443	4976	4378	4206
132	WS	257054	79901	46332	34245	27601	22124	18016	15282	12935	11194	9463	7879	6888	5896	5001	4496	3898	3623	3771
133	Neutre	283807	85487	49778	36111	28873	23071	19403	15908	13443	11449	10193	8299	7288	5961	5195	4491	4159	3782	3661
133	SW	362852	108008	62288	44474	35199	28673	23517	19594	16404	14509	12058	9982	8533	7215	6283	5283	4987	4329	4266
133	WS	257624	80034	46833	33696	27229	21883	18026	14999	12917	11160	9458	7846	7033	5922	5046	4612	3938	3675	3631
134	Neutre	284706	85898	49312	36349	28605	23246	19143	16002	13451	11508	10170	8348	7146	5800	5266	4512	4107	3778	3653
134	SW	362823	107624	61667	44740	34897	28724	23444	19322	16666	14345	12005	10063	8467	7263	6260	5612	4929	4365	4378
134	WS	257933	79961	46455	33578	27105	21765	18120	15034	13363	11288	9567	7949	6840	5828	5126	4539	3942	3655	3616
135	Neutre	285065	85248	49797	36607	28404	23558	18999	16107	13596	11730	10090	8270	7171	5933	5224	4500	4049	3683	3630
135	SW	362661	108029	62116	44421	34869	28841	23408	19391	16475	14346	11970	9918	8545	7010	6273	5464	4815	4448	4228
135	WS	257527	80063	46475	33963	27358	21866	17860	15123	12867	11288	9444	8028	6825	5946	5142	4542	3822	3605	3754
136	Neutre	284049	85607	49317	36289	28591	23260	19470	16261	13421	11422	9995	8436	7413	6094	5223	4567	4186	3702	3635
136	SW	362464	107629	62077	44675	35081	28665	23192	19511	16420	14394	11740	9729	8472	7118	6428	5491	4815	4240	4161
136	WS	257518	80409	47288	34078	27097	21910	17900	15065	13105	11312	9477	7891	6907	6011	5013	4533	3934	3707	3710
137	Neutre	284550	85892	49085	36145	28755	23305	19223	15972	13502	11309	10124	8334	7200	6106	5177	4582	4010	3740	3616
