region	localGC	invar_L	invar_GC	segregating_sites_unanchor	pi_sum_unanchor	pi_unanchor	unanchor_L	unanchor_GC	segregating_sites_anchor	pi_sum_anchor	pi_anchor	anchor_L	anchor_GC	total_pi	cds_anchor	cds_anchor_num_winds	cds_total	cds_total_num_winds	class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
C_53	0.319164	120233	38373	3598	1116.52	0.00559374	199601	63700	51705	14438.7	0.00763234	1891775	603794	0.00703344	88195	3646	102567	4625	WS	2584	788	439	324	268	241	197	155	150	103	83	105	55	47	58	39	37	22	28
C_54	0.320142	124270	39787	4313	1347.15	0.00582873	231123	73992	52355	14743.5	0.00754203	1954847	625825	0.00696493	94160	3785	113300	4940	Neutre	2701	765	493	338	286	228	214	164	127	121	98	74	81	65	60	49	36	21	37
C_54	0.320142	124270	39787	4313	1347.15	0.00582873	231123	73992	52355	14743.5	0.00754203	1954847	625825	0.00696493	94160	3785	113300	4940	SW	3755	1060	627	433	369	285	238	196	173	151	151	89	95	53	62	52	40	41	37
C_54	0.320142	124270	39787	4313	1347.15	0.00582873	231123	73992	52355	14743.5	0.00754203	1954847	625825	0.00696493	94160	3785	113300	4940	WS	2664	761	436	355	285	206	193	178	143	128	107	73	76	67	56	55	40	40	44
C_55	0.321132	128493	41263	4039	1240.53	0.00578966	214266	68812	51805	14507.1	0.00742549	1953685	627387	0.0068574	82078	3765	101357	4930	Neutre	2833	833	467	375	272	234	193	180	139	126	102	85	79	55	57	54	21	34	49
C_55	0.321132	128493	41263	4039	1240.53	0.00578966	214266	68812	51805	14507.1	0.00742549	1953685	627387	0.0068574	82078	3765	101357	4930	SW	3657	1079	621	448	343	291	236	206	175	158	109	93	80	74	49	55	55	51	31
C_55	0.321132	128493	41263	4039	1240.53	0.00578966	214266	68812	51805	14507.1	0.00742549	1953685	627387	0.0068574	82078	3765	101357	4930	WS	2571	739	439	329	295	242	172	155	146	104	116	82	76	64	46	48	29	30	40
C_56	0.322119	135144	43532	3921	1165.7	0.00500769	232782	74988	51960	14597.6	0.00758305	1925025	620082	0.00687468	89663	3784	108253	4955	Neutre	2773	836	468	410	299	235	202	168	173	126	105	64	72	60	57	53	34	32	44
C_56	0.322119	135144	43532	3921	1165.7	0.00500769	232782	74988	51960	14597.6	0.00758305	1925025	620082	0.00687468	89663	3784	108253	4955	SW	3684	1054	609	471	373	289	251	196	175	145	113	86	77	83	59	58	36	35	38
C_56	0.322119	135144	43532	3921	1165.7	0.00500769	232782	74988	51960	14597.6	0.00758305	1925025	620082	0.00687468	89663	3784	108253	4955	WS	2569	798	469	347	259	235	190	145	129	116	84	62	61	57	52	59	36	26	38
C_57	0.323114	125548	40567	4229	1297.57	0.00566255	229149	74044	52152	14725.4	0.00760873	1935333	625330	0.00699684	87199	3713	117675	4804	Neutre	2846	820	545	361	293	250	188	160	125	115	95	85	75	60	48	50	33	34	25
C_57	0.323114	125548	40567	4229	1297.57	0.00566255	229149	74044	52152	14725.4	0.00760873	1935333	625330	0.00699684	87199	3713	117675	4804	SW	3541	1078	645	493	375	264	228	217	181	160	125	119	81	74	71	51	38	42	30
C_57	0.323114	125548	40567	4229	1297.57	0.00566255	229149	74044	52152	14725.4	0.00760873	1935333	625330	0.00699684	87199	3713	117675	4804	WS	2534	780	513	351	274	226	189	144	120	108	97	72	73	65	37	48	34	27	32
C_58	0.3241	110615	35851	3884	1180.98	0.00542154	217831	70600	51255	14304.2	0.00747302	1914115	620362	0.00690513	88653	3699	101572	4695	Neutre	2853	860	446	392	267	243	212	160	127	105	94	77	69	48	47	41	45	35	32
